,neg,neu,pos,compound
551,0.297,0.703,0.0,-0.6705
552,0.103,0.536,0.36,0.6908
553,0.166,0.755,0.079,-0.3182
554,0.153,0.847,0.0,-0.3839
555,0.118,0.76,0.122,0.0258
556,0.0,0.64,0.36,0.5423
557,0.302,0.698,0.0,-0.7579
558,0.082,0.759,0.158,0.296
559,0.0,1.0,0.0,0.0
560,0.144,0.657,0.199,0.5416
561,0.0,1.0,0.0,0.0
562,0.158,0.842,0.0,-0.4939
563,0.0,1.0,0.0,0.0
564,0.16,0.84,0.0,-0.357
565,0.0,0.845,0.155,0.296
566,0.361,0.545,0.094,-0.6597
567,0.184,0.73,0.086,-0.3167
568,0.0,0.854,0.146,0.4404
569,0.13,0.778,0.093,-0.25
570,0.081,0.656,0.263,0.6908
571,0.0,0.724,0.276,0.805
572,0.147,0.621,0.232,0.3612
573,0.131,0.563,0.306,0.5667
574,0.131,0.597,0.272,0.4215
575,0.0,0.765,0.235,0.6398
576,0.0,0.872,0.128,0.3612
577,0.0,0.811,0.189,0.6808
578,0.0,0.558,0.442,0.8834
579,0.0,0.872,0.128,0.3919
580,0.216,0.673,0.111,-0.296
581,0.0,0.838,0.162,0.4404
582,0.255,0.745,0.0,-0.6705
583,0.179,0.821,0.0,-0.3603
584,0.0,0.841,0.159,0.5574
585,0.189,0.407,0.404,0.7506
586,0.038,0.764,0.198,0.6801
587,0.085,0.732,0.183,0.3818
588,0.0,0.8,0.2,0.3612
589,0.237,0.556,0.207,-0.1531
590,0.0,1.0,0.0,0.0
591,0.0,0.867,0.133,0.3182
592,0.0,0.802,0.198,0.6369
593,0.0,1.0,0.0,0.0
594,0.13,0.761,0.109,-0.1027
595,0.0,1.0,0.0,0.0
596,0.0,1.0,0.0,0.0
597,0.0,1.0,0.0,0.0
598,0.151,0.679,0.17,0.1154
599,0.32,0.593,0.087,-0.754
600,0.109,0.891,0.0,-0.296
601,0.0,0.715,0.285,0.4199
602,0.0,0.0,1.0,0.4215
603,0.138,0.862,0.0,-0.34
604,0.0,0.85,0.15,0.3919
605,0.0,0.9,0.1,0.2732
606,0.0,1.0,0.0,0.0
607,0.0,1.0,0.0,0.0
608,0.0,1.0,0.0,0.0
609,0.0,0.938,0.062,0.1154
610,0.0,1.0,0.0,0.0
611,0.0,1.0,0.0,0.0
612,0.0,1.0,0.0,0.0
613,0.234,0.766,0.0,-0.6369
614,0.0,1.0,0.0,0.0
615,0.0,1.0,0.0,0.0
616,0.0,0.881,0.119,0.3774
617,0.0,1.0,0.0,0.0
618,0.0,0.67,0.33,0.7096
619,0.114,0.767,0.119,0.0314
620,0.0,0.0,1.0,0.7096
621,0.0,1.0,0.0,0.0
622,0.0,0.8,0.2,0.6115
623,0.0,0.648,0.352,0.795
624,0.0,1.0,0.0,0.0
625,0.0,0.706,0.294,0.7579
626,0.0,1.0,0.0,0.0
627,0.0,0.877,0.123,0.4754
628,0.0,0.799,0.201,0.3657
629,0.11,0.622,0.268,0.5106
630,0.141,0.65,0.209,0.4404
631,0.0,0.814,0.186,0.5859
632,0.344,0.656,0.0,-0.7425
633,0.0,1.0,0.0,0.0
634,0.0,0.766,0.234,0.5562
635,0.196,0.652,0.152,-0.0516
636,0.0,1.0,0.0,0.0
637,0.121,0.879,0.0,-0.296
638,0.0,1.0,0.0,0.0
